1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
27,'Minnesota',02577          ,'County Highway Agency','003','Anoka County','13114','13114','Coon Rapids city',2011,16983,'Concrete Continuous','Slab',16,473.4,'DITCH                   ','CSAH 14           ','Good',14,46752.2
27,'Minnesota',70542          ,'County Highway Agency','139','Scott County','59350','59350','Shakopee city',2008,16241,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,113.8,'STREAM                  ','CSAH 101          ','Good',17,9599.1
27,'Minnesota',22616          ,'County Highway Agency','043','Faribault County','19016','0','No Place Code',2013,470,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,75.1,'COON CREEK              ','CSAH 4            ','Good',12,2957.9
27,'Minnesota',58537          ,'Town or Township Highway Agency','115','Pine County','70780','0','No Place Code',1998,40,'Concrete Continuous','Slab',2,74.5,'WILLOW RIVER            ','T 763             ','Good',27,2321.2
27,'Minnesota',27B33          ,'City or Municipal Highway Agency','053','Hennepin County','51730','51730','Plymouth city',2010,630,'Concrete','Slab',1,33.5,'BASSETT CREEK           ','M 645             ','Good',15,1339.5
27,'Minnesota',R0706          ,'City or Municipal Highway Agency','139','Scott County','59350','59350','Shakopee city',1993,6000,'Concrete','Culvert',2,21.3,'RELIEF WATERWAY         ','MSAS 104          ','Good',32,1063.5
27,'Minnesota',58002          ,'State Highway Agency','115','Pine County','21140','0','No Place Code',1981,2002,'Steel Continuous','Stringer/Multi-beam or Girder',3,262.5,'KETTLE RIVER            ','MN 23             ','Good',44,13261.1
27,'Minnesota',07556          ,'Town or Township Highway Agency','013','Blue Earth County','40328','0','No Place Code',1981,16,'Prestressed Concrete','Tee Beam',3,161.4,'MAPLE RIVER             ','T 11              ','Fair',44,5189.9
27,'Minnesota',69629          ,'County Highway Agency','137','St. Louis County','44350','0','No Place Code',2017,760,'Concrete Continuous','Slab',3,105.6,'BURNTSIDE RIVER         ','CSAH 88           ','Good',8,4159.2
27,'Minnesota',27550          ,'State Highway Agency','053','Hennepin County','51730','51730','Plymouth city',1969,15800,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,175.9,'US 169                  ','MSAS 162          ','Fair',55,11250.4
27,'Minnesota',27V44          ,'State Highway Agency','053','Hennepin County','7966','0','No Place Code',2001,52204,'Prestressed Concrete','Stringer/Multi-beam or Girder',3,311,'CSAH 81; BNSF RR        ','I 94              ','Good',24,22245.1
27,'Minnesota',27V43          ,'State Highway Agency','053','Hennepin County','7966','0','No Place Code',2001,56000,'Prestressed Concrete','Stringer/Multi-beam or Girder',3,311,'CSAH 81; BNSF RR        ','I 94              ','Fair',24,25714.5
