1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
56,'Wyoming',FHH            ,'County Highway Agency','035','Sublette County','0','61580','Pinedale town',1988,869,'Steel Continuous','Stringer/Multi-beam or Girder',3,100.1,'Pine Creek              ','Sb Cnty Rd 123    ','Fair',37,2856.2
56,'Wyoming',ELQ            ,'County Highway Agency','013','Fremont County','0','0','No Place Code',1921,81,'Steel','Truss - Thru',1,167,'Big Wind River          ','Fr Cnty Rd 238    ','Poor',104,2684.6
56,'Wyoming',ERO            ,'County Highway Agency','041','Uinta County','0','0','No Place Code',1978,271,'Wood or Timber','Stringer/Multi-beam or Girder',1,34.1,'Pine Grove Canal        ','Ui Cnty Rd 271    ','Fair',47,828.4
56,'Wyoming',FQV            ,'County Highway Agency','029','Park County','0','','',1980,71,'Concrete','Channel Beam',1,30.8,'Cody Canal              ','County Road 6OS   ','Fair',40,799.3
56,'Wyoming',BRP            ,'State Highway Agency','035','Sublette County','61580','61580','Pinedale town',1962,10413,'Concrete Continuous','Frame',2,82.3,'Pine Creek              ','US 191            ','Fair',63,7132.6
56,'Wyoming',EUW            ,'State Highway Agency','013','Fremont County','0','0','No Place Code',1983,4330,'Steel Continuous','Stringer/Multi-beam or Girder',3,157.2,'Wind River              ','US 26             ','Fair',42,6702.7
56,'Wyoming',JMZ            ,'State Highway Agency','041','Uinta County','13005','0','No Place Code',2002,521,'Steel Continuous','Stringer/Multi-beam or Girder',3,121.4,'Big Muddy Creek         ','WYO 412           ','Fair',23,4699.5
56,'Wyoming',DGJ            ,'County Highway Agency','029','Park County','0','0','No Place Code',1979,91,'Steel Continuous','Stringer/Multi-beam or Girder',3,172.9,'S Fork Shoshone River   ','Pa Cnty Rd 6QS    ','Fair',46,4594.8
56,'Wyoming',EGD            ,'County Highway Agency','029','Park County','0','','',2018,276,'Prestressed Concrete','Stringer/Multi-beam or Girder',2,160.1,'S Fork Shoshone River   ','County Road 6QS   ','Good',0,4780
56,'Wyoming',FIB            ,'County Highway Agency','041','Uinta County','0','0','No Place Code',1985,73,'Steel','Stringer/Multi-beam or Girder',1,30.2,'Grove Canal             ','Ui Cnty Rd 204    ','Fair',40,425.8
56,'Wyoming',JBF            ,'State Highway Agency','035','Sublette County','61580','61580','Pinedale town',1993,5376,'Steel','Stringer/Multi-beam or Girder',1,24.9,'Barber Creek            ','US 191            ','Fair',32,1063.5
56,'Wyoming',FOO            ,'County Highway Agency','041','Uinta County','0','0','No Place Code',1984,70,'Steel','Stringer/Multi-beam or Girder',1,70.9,'Blacks Fork River       ','Youth Camp Road   ','Fair',41,1209
56,'Wyoming',JBE            ,'State Highway Agency','035','Sublette County','0','0','No Place Code',1993,4637,'Steel Continuous','Stringer/Multi-beam or Girder',3,142.1,'New Fork River          ','US 191            ','Fair',32,7317.4
56,'Wyoming',ELP            ,'City or Municipal Highway Agency','013','Fremont County','21415','21415','Dubois town',1979,169,'Concrete Continuous','Culvert',5,68.9,'Horse Creek             ','E. Welty Street   ','Fair',43,2780.3
56,'Wyoming',DHH            ,'State Highway Agency','013','Fremont County','21415','21415','Dubois town',1981,4330,'Steel Continuous','Stringer/Multi-beam or Girder',3,119.1,'Horse Creek             ','US 26             ','Fair',44,8088.1
