1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
56,'Wyoming',040307000001075,'U.S. Forest Service','039','Teton County','0','0','No Place Code',1966,50,'Wood or Timber','Stringer/Multi-beam or Girder',2,59.1,'SOUTH FORK FISH CREEK   ','FOREST ROAD 30900 ','Poor',59,910.6
56,'Wyoming',021401000001007,'U.S. Forest Service','029','Park County','0','0','No Place Code',1952,50,'Steel','Stringer/Multi-beam or Girder',3,142.1,'SUNLIGHT CREEK          ','FDR               ','Good',73,2283.8
56,'Wyoming',LNB            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',2004,844,'Prestressed Concrete','Tee Beam',1,65,'Mill Creek              ','WYO 150           ','Fair',21,2557.5
56,'Wyoming',AMU            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1960,7563,'Concrete Continuous','Slab',3,67.6,'Divide Road             ','I-80 EBL          ','Fair',65,3436.9
56,'Wyoming',AMV            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1960,7901,'Concrete Continuous','Slab',3,67.6,'Divide Road             ','I-80 WBL          ','Fair',65,3436.9
56,'Wyoming',040307000001000,'U.S. Forest Service','035','Sublette County','0','','',1960,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,40,'TOSI CREEK              ','FR 10156          ','Poor',60,604.1
56,'Wyoming',MCF            ,'County Highway Agency','041','Uinta County','0','0','No Place Code',2009,20,'Steel','Stringer/Multi-beam or Girder',1,61,'Sulphur Creek           ','Ui Cnty Rd 158    ','Fair',16,1021.1
56,'Wyoming',040307000001001,'U.S. Forest Service','035','Sublette County','0','0','No Place Code',1957,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,29.9,'WAGON CREEK             ','FR 10170          ','Fair',68,421.2
56,'Wyoming',JBQ            ,'State Highway Agency','029','Park County','0','0','No Place Code',1998,3095,'Steel','Stringer/Multi-beam or Girder',1,112.9,'Clocktower Creek        ','US 14             ','Good',27,4813.6
56,'Wyoming',021405000003026,'U.S. Forest Service','013','Fremont County','0','0','No Place Code',2008,50,'Steel','Culvert',1,28.2,'WARM SPRING CREEK       ','FSR 532           ','Good',17,453.6
56,'Wyoming',AMS            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1960,7588,'Concrete Continuous','Slab',3,66.9,'Machinery Pass          ','I-80 EBL          ','Fair',65,2744.8
56,'Wyoming',AMT            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1960,7925,'Concrete Continuous','Slab',3,66.9,'Machinery Pass          ','I-80 WBL          ','Fair',65,2744.8
56,'Wyoming',021405000013006,'U.S. Forest Service','013','Fremont County','0','0','No Place Code',2011,50,'Wood or Timber','Girder and Floorbeam System',1,40,'SHERIDAN CREEK          ','NO DATA ENTERED   ','Good',14,617.2
56,'Wyoming',021405000001005,'U.S. Forest Service','013','Fremont County','0','0','No Place Code',1949,50,'Steel','Stringer/Multi-beam or Girder',1,42,'WIND RIVER              ','FDR               ','Good',76,675.1
56,'Wyoming',FKL            ,'County Highway Agency','041','Uinta County','0','','',1985,60,'Steel','Girder and Floorbeam System',1,55.1,'Sulphur Creek           ','County Road 159   ','Poor',35,1247.8
56,'Wyoming',EGO            ,'County Highway Agency','041','Uinta County','0','0','No Place Code',1981,271,'Steel','Stringer/Multi-beam or Girder',1,40,'Mill Creek              ','Ui Cnty Rd 157    ','Poor',44,643.5
56,'Wyoming',BRU            ,'State Highway Agency','035','Sublette County','0','0','No Place Code',1972,2014,'Concrete Continuous','Tee Beam',3,70.9,'Hay Gulch               ','US 191            ','Fair',53,2743.5
56,'Wyoming',FHG            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1989,1767,'Prestressed Concrete','Stringer/Multi-beam or Girder',3,160.1,'Bear River              ','WYO 150           ','Fair',36,7511.5
56,'Wyoming',KCS            ,'County Highway Agency','041','Uinta County','0','0','No Place Code',1994,49,'Prestressed Concrete','Tee Beam',1,69.9,'Bear River              ','Ui Cnty Rd 150    ','Fair',31,1811.2
56,'Wyoming',AMQ            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1960,7402,'Concrete Continuous','Slab',3,67.6,'I-80 Service Road       ','I-80 EBL          ','Fair',65,2771.7
56,'Wyoming',AMR            ,'State Highway Agency','041','Uinta County','0','0','No Place Code',1960,7915,'Concrete Continuous','Slab',3,67.6,'I-80 Service Road       ','I-80 WBL          ','Fair',65,2771.7
56,'Wyoming',021404000001012,'U.S. Forest Service','029','Park County','0','0','No Place Code',1982,50,'Steel','Truss - Thru',3,181.1,'N. FORK SHOSHONE        ','FDR               ','Fair',43,1782.5
56,'Wyoming',JJK            ,'State Highway Agency','029','Park County','0','0','No Place Code',1998,3095,'Steel Continuous','Stringer/Multi-beam or Girder',3,301.8,'Elk Fork Creek          ','US 14             ','Fair',27,12873.6
56,'Wyoming',BRV            ,'State Highway Agency','035','Sublette County','0','0','No Place Code',1972,2014,'Concrete Continuous','Tee Beam',3,70.9,'North Beaver Creek      ','US 191            ','Fair',53,2743.5
56,'Wyoming',NBQ            ,'Other State Agencies','029','Park County','0','0','No Place Code',1993,130,'Steel','Stringer/Multi-beam or Girder',2,99.7,'Sunlight Creek          ','Game and Fish 7GQ ','Good',32,1145.3
56,'Wyoming',BRC            ,'State Highway Agency','023','Lincoln County','0','0','No Place Code',1961,1532,'Concrete Continuous','Slab',3,80.4,'South Fork Twin Creek   ','US 30             ','Fair',64,2980
