1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
38,'North Dakota',000000010123051,'County Highway Agency','019','Cavalier County','0','0','No Place Code',1952,5,'Steel','Stringer/Multi-beam or Girder',1,25.9,'CREEK                   ','COUNTY HIGHWAY    ','Poor',72,501.7
38,'North Dakota',000000010124030,'County Highway Agency','019','Cavalier County','0','0','No Place Code',1986,45,'Concrete','Culvert',2,21,'MULBERRY CREEK          ','COUNTY HIGHWAY    ','Fair',39,420.2
38,'North Dakota',000000003137360,'County Highway Agency','005','Benson County','0','0','No Place Code',2018,20,'Prestressed Concrete','Box Beam or Girders - Single or Spread',2,133.9,'SHEYENNE RIVER          ','IRRFT COUNTY HIWAY','Good',7,3996.4
38,'North Dakota',000000010124020,'County Highway Agency','019','Cavalier County','0','0','No Place Code',1997,10,'Steel','Culvert',3,33.1,'CREEK                   ','COUNTY HIGHWAY    ','Fair',28,597.9
38,'North Dakota',0281127480     ,'State Highway Agency','027','Eddy County','56620','56620','New Rockford city',2008,1756,'Prestressed Concrete Continuous','Box Beam or Girders - Single or Spread',3,214.9,'BN RR SEP               ','US HIGHWAY 281    ','Good',17,9165.5
38,'North Dakota',000000014109090,'County Highway Agency','027','Eddy County','0','0','No Place Code',1989,20,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,94.2,'N ROCKFORD CANAL NR2-10 ','COUNTY HIGHWAY    ','Good',36,2873
38,'North Dakota',0281128331     ,'State Highway Agency','027','Eddy County','56620','0','No Place Code',2014,1650,'Prestressed Concrete Continuous','Box Beam or Girders - Single or Spread',2,138.1,'JAMES RIVER             ','US HIGHWAY 281    ','Good',11,5891.1
38,'North Dakota',000000010123050,'County Highway Agency','019','Cavalier County','0','0','No Place Code',1999,96,'Concrete','Culvert',3,30.8,'MULBERRY CREEK          ','COUNTY HIGHWAY    ','Fair',26,920.7
38,'North Dakota',0017063178     ,'State Highway Agency','071','Ramsey County','0','0','No Place Code',1962,330,'Concrete','Culvert',4,42,'CREEK                   ','ND HIGHWAY 17     ','Fair',63,1639.6
38,'North Dakota',000000014108120,'County Highway Agency','027','Eddy County','56620','56620','New Rockford city',1904,50,'Steel','Truss - Thru',1,169.9,'JAMES RIVER             ','COUNTY HIGHWAY    ','Poor',121,3010.9
38,'North Dakota',000000036116190,'County Highway Agency','071','Ramsey County','28580','','',1929,1,'Steel','Stringer/Multi-beam or Girder',1,24,'COULEE                  ','SECTION LINE TRAIL','Poor',92,628.6
38,'North Dakota',0281131010     ,'State Highway Agency','027','Eddy County','0','0','No Place Code',1989,1130,'Prestressed Concrete','Stringer/Multi-beam or Girder',1,94.2,'N ROCKFORD CANAL NR2-9  ','US HIGHWAY        ','Good',36,4016
38,'North Dakota',000000010118150,'County Highway Agency','019','Cavalier County','0','0','No Place Code',1977,190,'Concrete','Culvert',3,28.9,'CREEK                   ','COUNTY HIGHWAY    ','Good',48,776.7
38,'North Dakota',0052216127     ,'State Highway Agency','031','Foster County','0','0','No Place Code',1965,1830,'Prestressed Concrete Continuous','Box Beam or Girders - Single or Spread',2,80.1,'PIPESTEM CREEK          ','US HIGHWAY 52     ','Good',60,3650.7
38,'North Dakota',000000014108110,'County Highway Agency','027','Eddy County','0','0','No Place Code',2009,50,'Concrete','Culvert',4,42,'JAMES RIVER             ','COUNTY HIGHWAY    ','Good',16,1005.8
38,'North Dakota',000000036117140,'County Highway Agency','071','Ramsey County','0','0','No Place Code',1989,20,'Prestressed Concrete','Box Beam or Girders - Single or Spread',1,51.8,'STARKWEATHER COULEE     ','COUNTY HIGHWAY    ','Good',36,1598.7
38,'North Dakota',0020113539     ,'State Highway Agency','071','Ramsey County','0','0','No Place Code',1967,1400,'Concrete','Tee Beam',1,40,'SWEETWATER LAKE OVERFLOW','ND HIGHWAY 20     ','Fair',58,1799.1
38,'North Dakota',0003050624     ,'State Highway Agency','047','Logan County','0','0','No Place Code',1957,430,'Concrete Continuous','Slab',3,60,'BEAVER CREEK            ','ND HIGHWAY 3      ','Fair',67,2107.7
38,'North Dakota',    DKA-G-NR2-8,'Bureau of Reclamation','027','Eddy County','0','0','No Place Code',1986,2,'Concrete','Culvert',3,24,'New Rockford Canal      ','RRV&W Railroad    ','Good',39,573.6
38,'North Dakota',0020114656     ,'State Highway Agency','071','Ramsey County','0','0','No Place Code',1966,1370,'Concrete','Culvert',4,34.1,'CREEK                   ','ND HIGHWAY 20     ','Good',59,1533.6
