1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.)
2,'Alaska',100310000001134,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,45.9,'FISH CREEK              ','LOGGING ROAD      ','',119,0
2,'Alaska',100310000001018,'U.S. Forest Service','220','Sitka City and Borough','0','','',1979,0,'Wood or Timber','Stringer/Multi-beam or Girder',1,60,'TRIB. OF PAVLOF RIVER   ','LOGGING ROAD      ','Fair',40,847
2,'Alaska',100320000000902,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,82,'CREEK                   ','LOGGING ROAD      ','Good',123,1372.4
2,'Alaska',100320000000996,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,290,'Steel','Stringer/Multi-beam or Girder',2,110.9,'GARTINA CREEK           ','LOGGING ROAD      ','Fair',123,2001
2,'Alaska',            764,'National Park Service','290','Yukon-Koyukuk Census Area','0','','',1955,300,'Steel Continuous','Stringer/Multi-beam or Girder',3,283.1,'  EAST FORK TOKLAT RIVER','  DENALI PARK ROAD','Fair',64,8081.6
2,'Alaska',            931,'National Park Service','290','Yukon-Koyukuk Census Area','0','','',1986,100,'Steel Continuous','Stringer/Multi-beam or Girder',3,179.1,'             MOOSE CREEK','  DENALI PARK ROAD','Good',33,4936.8
2,'Alaska',100532000003181,'U.S. Forest Service','220','Sitka City and Borough','0','','',2003,50,'Steel','Stringer/Multi-beam or Girder',1,69.9,'STREAM                  ','ROAD              ','Good',16,1123.4
2,'Alaska',020405000003017,'U.S. Forest Service','','','0','','',1900,50,'Concrete','Tee Beam',,27.9,'HORSEFLY CREEK          ','NO DATA ENTERED   ','Fair',123,439.2
2,'Alaska',100330000001212,'U.S. Forest Service','105','Hoonah-Angoon Census Area','0','32550','Hobart Bay CDP',1981,0,'Steel','Stringer/Multi-beam or Girder',1,120.1,'LAURA"'S CREEK           ','ROAD              ','Fair',42,2166.8
2,'Alaska',100330000001210,'U.S. Forest Service','105','Hoonah-Angoon Census Area','0','32550','Hobart Bay CDP',1981,0,'Steel','Stringer/Multi-beam or Girder',1,60,'JOHNS CREEK             ','ROAD              ','Fair',42,1083.4
2,'Alaska',100330000001324,'','220','Sitka City and Borough','0','','',1964,50,'','',1,40,'MONTANA CREEK ROAD      ','ROAD              ','',55,0
2,'Alaska',100330000001325,'','220','Sitka City and Borough','0','','',1959,50,'','',,69.9,'MONTANA CREEK ROAD      ','ROAD              ','',60,0
2,'Alaska',100330000001326,'','220','Sitka City and Borough','0','','',1964,50,'','',1,71.9,'MONTANA CREEK ROAD      ','ROAD              ','',55,0
2,'Alaska',100310000001464,'U.S. Forest Service','220','Sitka City and Borough','0','','',1992,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,63,'STREAM                  ','LOG HAUL COLLECTOR','Good',27,1136.7
2,'Alaska',100320000001406,'','220','Sitka City and Borough','0','','',1993,50,'','',1,40,'CREEK                   ','LOGGING ROAD      ','Fair',26,0
2,'Alaska',100540000001033,'U.S. Forest Service','','','0','','',1994,0,'Steel','Box Beam or Girders - Multiple',1,59.7,'PERM                    ','NO DATA ENTERED   ','Good',25,1057.9
2,'Alaska',100320000001080,'U.S. Forest Service','220','Sitka City and Borough','0','','',1989,50,'Steel','Stringer/Multi-beam or Girder',1,39.7,'STREAM                  ','LOGGING ROAD      ','Poor',30,716.3
2,'Alaska',100540000001045,'U.S. Forest Service','201','201','0','','',1981,20,'Wood or Timber','Stringer/Multi-beam or Girder',1,72.8,'LOG                     ','2083000           ','Poor',38,1863.9
2,'Alaska',100210000001298,'U.S. Forest Service','280','280','0','','',1900,20,'Steel','Culvert',3,22,'STREAM                  ','ROAD              ','Good',123,346.2
2,'Alaska',100220000001335,'U.S. Forest Service','280','280','0','','',1989,10,'Steel','Culvert',2,25.9,'STREAM                  ','ROAD              ','Good',30,408.2
2,'Alaska',100220000001336,'U.S. Forest Service','280','280','0','','',1989,10,'Steel','Culvert',2,28.9,'STREAM                  ','ROAD              ','Good',30,454.7
2,'Alaska',           1859,'Other State Agencies','140','140','54700','','',1988,100,'Steel','Stringer/Multi-beam or Girder',1,40,'ANXIETY RIDGE CREEK     ','RED DOG MINE RD   ','Good',31,1234.4
2,'Alaska',           1633,'Other State Agencies','100','Haines Borough','31050','','',1979,10,'Wood or Timber','Stringer/Multi-beam or Girder',1,39,'UNNAMED CREEK           ','LOGGING ROAD      ','Poor',40,614.8
2,'Alaska',100554000029331,'U.S. Forest Service','201','201','0','','',2017,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,40,'NO DATA ENTERED         ','NO DATA ENTERED   ','Good',2,643.5
2,'Alaska',100521000024412,'U.S. Forest Service','280','280','0','','',2015,50,'Steel','Stringer/Multi-beam or Girder',1,62,'STREAM                  ','LOGGING ROAD      ','Good',4,1118.9
2,'Alaska',100310000001435,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Steel','Stringer/Multi-beam or Girder',1,49.9,'BOULDER CREEK           ','LOGGING ROAD      ','Fair',119,899.9
2,'Alaska',100330000001269,'U.S. Forest Service','220','Sitka City and Borough','0','','',1979,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,45.9,'HUMPY CREEK             ','LOGGING ROAD      ','',40,0
2,'Alaska',100330000001279,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,43,'UNKNOWN                 ','LOGGING ROAD      ','',119,0
2,'Alaska',100540000001047,'U.S. Forest Service','201','201','0','','',1981,5,'Wood or Timber','Stringer/Multi-beam or Girder',1,43,'LOG                     ','2083100           ','Poor',38,1001.2
2,'Alaska',100310000001192,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,65.9,'FISH CREEK              ','LOGGING ROAD      ','',119,0
2,'Alaska',100310000001197,'U.S. Forest Service','220','Sitka City and Borough','0','','',1978,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,60,'SMALL STREAM            ','LOGGING ROAD      ','',41,0
2,'Alaska',100310000001200,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,44.9,'CREEK                   ','LOGGING ROAD      ','',119,0
2,'Alaska',100310000001408,'','220','Sitka City and Borough','0','','',1993,50,'','',1,44,'STREAM                  ','LOGGING ROAD      ','',26,793.3
2,'Alaska',100540000001031,'U.S. Forest Service','201','201','0','','',1975,5,'Wood or Timber','Stringer/Multi-beam or Girder',1,34.1,'LOG                     ','2050300           ','Poor',44,481.4
2,'Alaska',100310000001149,'U.S. Forest Service','220','Sitka City and Borough','0','','',1978,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,21,'CREEK                   ','LOGGING ROAD      ','Fair',41,427.1
2,'Alaska',100320000001084,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,55.1,'NO DATA ENTERED         ','LOGGING ROAD      ','',119,0
2,'Alaska',100320000000901,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,290,'Steel','Stringer/Multi-beam or Girder',2,110.9,'GARTINA CREEK           ','LOGGING ROAD      ','Fair',123,2001
2,'Alaska',100310000001188,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,24.9,'FISH CREEK              ','ROAD              ','',119,0
2,'Alaska',100320000001313,'U.S. Forest Service','220','Sitka City and Borough','0','','',1987,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,46.9,'STREAM                  ','LOGGING ROAD      ','',32,0
2,'Alaska',100310000001098,'U.S. Forest Service','220','Sitka City and Borough','0','','',1978,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,35.1,'SMALL STREAM            ','LOGGING ROAD      ','Poor',41,0
2,'Alaska',100310000001439,'','220','Sitka City and Borough','0','','',1993,50,'','',1,48.9,'CREEK                   ','LOGGING ROAD      ','',26,0
2,'Alaska',100330000001321,'','220','Sitka City and Borough','0','','',1959,50,'','',,40,'MONTANA CREEK ROAD      ','ROAD              ','',60,0
2,'Alaska',100330000001322,'','220','Sitka City and Borough','0','','',1964,50,'','',1,33.1,'MONTANA CREEK ROAD      ','ROAD              ','',55,0
2,'Alaska',100310000001463,'U.S. Forest Service','220','Sitka City and Borough','0','','',1992,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,65.9,'STREAM                  ','LOG HAUL COLLECTOR','Fair',27,1125
2,'Alaska',100320000001379,'U.S. Forest Service','130','Ketchikan Gateway Borough','0','0','No Place Code',1980,0,'Steel','Stringer/Multi-beam or Girder',1,40,'NO DATA ENTERED         ','NO DATA ENTERED   ','Fair',45,722.3
2,'Alaska',100310000001191,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,36.1,'FISH CREEK              ','LOGGING ROAD      ','',119,0
2,'Alaska',100310000001410,'','220','Sitka City and Borough','0','','',1993,50,'','',1,40,'CREEK                   ','LOGGING ROAD      ','',26,0
2,'Alaska',100310000001412,'','220','Sitka City and Borough','0','','',1993,50,'','',1,40,'CREEK                   ','LOGGING ROAD      ','',26,0
2,'Alaska',100310000001413,'','220','Sitka City and Borough','0','','',1993,50,'','',1,40,'CREEK                   ','LOGGING ROAD      ','',26,0
2,'Alaska',100310000001178,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,35.1,'FISH CREEK              ','LOGGING ROAD      ','',119,0
2,'Alaska',100540000001022,'U.S. Forest Service','201','201','0','','',1985,5,'Wood or Timber','Stringer/Multi-beam or Girder',1,38.1,'LOG                     ','2030970           ','Poor',34,724.2
2,'Alaska',100330000001270,'U.S. Forest Service','220','Sitka City and Borough','0','','',1979,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,35.1,'FISH CREEK              ','LOGGING ROAD      ','Poor',40,0
2,'Alaska',100310000001142,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,29.9,'FISH CREEK              ','LOGGING ROAD      ','',119,0
2,'Alaska',100310000001143,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,24.9,'FISH CREEK              ','LOGGING ROAD      ','',119,0
2,'Alaska',100310000001145,'U.S. Forest Service','220','Sitka City and Borough','0','','',1900,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,29.9,'FISH CREEK              ','LOGGING ROAD      ','',119,0
2,'Alaska',100330000001283,'U.S. Forest Service','220','Sitka City and Borough','0','','',1978,50,'Wood or Timber','Stringer/Multi-beam or Girder',1,43,'HOMESHORE CREEK         ','LOGGING ROAD      ','Fair',41,0
2,'Alaska',100310000001307,'U.S. Forest Service','220','Sitka City and Borough','0','','',1993,50,'Steel','Stringer/Multi-beam or Girder',1,69.9,'CREEK                   ','LOGGING ROAD      ','',26,0
